match_date,kot,round_type,season_round,home_team,away_team,home_position,away_position,underdog,home_score,away_score,referee,stadium,attendance,season
20/08/2017,6:00 PM,Regular round,1,Hapoel Acre,Ihud Bnei Sakhnin,14,5,Hapoel Acre,1,2,Gal Leibovitz,Akko Municipal Stadium,800,2017
20/08/2017,8:00 PM,Regular round,1,Maccabi Tel Aviv,Beitar Jerusalem,13,1,Maccabi Tel Aviv,0,3,Liran Liany,Netanya Stadium,11325,2017
21/08/2017,7:30 PM,Regular round,1,Bnei Yehuda Tel Aviv,Maccabi Haifa,3,12,Maccabi Haifa,2,0,Eli Hacmon,HaMoshava Stadium,7500,2017
26/08/2017,5:00 PM,Regular round,2,Ihud Bnei Sakhnin,Hapoel Raanana,3,10,Hapoel Raanana,2,1,Zvika Levi,Akko Municipal Stadium,650,2017
26/08/2017,5:30 PM,Regular round,2,Hapoel Ashkelon,Bnei Yehuda Tel Aviv,12,4,Hapoel Ashkelon,1,1,Erez Papir,Sala Stadium,2200,2017
26/08/2017,7:15 PM,Regular round,2,Maccabi Netanya,Hapoel Acre,8,14,Hapoel Acre,2,2,Igal Frid,Netanya Stadium,4373,2017
26/08/2017,7:30 PM,Regular round,2,Maccabi Petah Tikva,Hapoel Haifa,6,2,Maccabi Petah Tikva,0,2,Eli Hacmon,HaMoshava Stadium,2670,2017
27/08/2017,7:10 PM,Regular round,2,Ironi Kiryat Shmona,Maccabi Tel Aviv,9,7,Ironi Kiryat Shmona,1,2,Gal Leibovitz,Akko Municipal Stadium,2100,2017
27/08/2017,8:00 PM,Regular round,2,Maccabi Haifa,Hapoel Beer Sheva,5,11,Hapoel Beer Sheva,3,1,Eitan Shmuelevic,Sammy Ofer Stadium,27180,2017
28/08/2017,7:30 PM,Regular round,2,Beitar Jerusalem,FC Ashdod,1,13,FC Ashdod,4,1,Roi Reinshreiber,HaMoshava Stadium,9000,2017
09/09/2017,5:00 PM,Regular round,3,Maccabi Tel Aviv,Ihud Bnei Sakhnin,3,4,Ihud Bnei Sakhnin,2,0,Ziv Adler,Netanya Stadium,10127,2017
09/09/2017,6:15 PM,Regular round,3,Hapoel Haifa,Bnei Yehuda Tel Aviv,2,6,Bnei Yehuda Tel Aviv,2,1,Liran Liany,Sammy Ofer Stadium,4000,2017
09/09/2017,6:15 PM,Regular round,3,FC Ashdod,Ironi Kiryat Shmona,14,7,FC Ashdod,0,2,David Fucsman,Yud-Alef Stadion,700,2017
09/09/2017,7:30 PM,Regular round,3,Hapoel Beer Sheva,Hapoel Ashkelon,8,12,Hapoel Ashkelon,1,0,Menashe Masiah,Toto Jacob Turner Stadium,14725,2017
10/09/2017,6:00 PM,Regular round,3,Hapoel Raanana,Maccabi Netanya,13,5,Hapoel Raanana,0,3,Ohad Asulin,Netanya Stadium,2200,2017
10/09/2017,7:15 PM,Regular round,3,Hapoel Acre,Maccabi Haifa,11,9,Hapoel Acre,2,0,Daniel Bar Natan,Akko Municipal Stadium,5000,2017
11/09/2017,8:00 PM,Regular round,3,Maccabi Petah Tikva,Beitar Jerusalem,10,1,Maccabi Petah Tikva,1,2,Alon Yefet,HaMoshava Stadium,8000,2017
16/09/2017,5:00 PM,Regular round,4,Ironi Kiryat Shmona,Maccabi Petah Tikva,4,11,Maccabi Petah Tikva,3,1,Eitan Shmuelevic,Akko Municipal Stadium,200,2017
16/09/2017,6:00 PM,Regular round,4,Maccabi Haifa,Hapoel Raanana,7,13,Hapoel Raanana,4,2,Igal Frid,Sammy Ofer Stadium,16437,2017
16/09/2017,6:30 PM,Regular round,4,Hapoel Ashkelon,Hapoel Acre,10,12,Hapoel Acre,2,1,Eli Hacmon,Sala Stadium,2000,2017
16/09/2017,7:30 PM,Regular round,4,Beitar Jerusalem,Hapoel Haifa,1,2,Hapoel Haifa,3,3,Ziv Adler,Teddy-Kollek-Stadion,15000,2017
17/09/2017,6:00 PM,Regular round,4,Ihud Bnei Sakhnin,FC Ashdod,6,14,FC Ashdod,0,0,Shalom Ben Avraham,Akko Municipal Stadium,1000,2017
17/09/2017,7:15 PM,Regular round,4,Bnei Yehuda Tel Aviv,Hapoel Beer Sheva,9,5,Bnei Yehuda Tel Aviv,0,1,Roi Reinshreiber,HaMoshava Stadium,4300,2017
18/09/2017,8:00 PM,Regular round,4,Maccabi Netanya,Maccabi Tel Aviv,8,3,Maccabi Netanya,2,3,Orel Grinfeld,Netanya Stadium,9000,2017
23/09/2017,5:00 PM,Regular round,5,Hapoel Acre,Bnei Yehuda Tel Aviv,12,11,Hapoel Acre,1,1,Idan Leiba,Akko Municipal Stadium,500,2017
23/09/2017,6:00 PM,Regular round,5,Hapoel Raanana,Hapoel Ashkelon,13,7,Hapoel Raanana,0,3,Guy Berger,Netanya Stadium,700,2017
23/09/2017,6:15 PM,Regular round,5,FC Ashdod,Maccabi Netanya,14,4,FC Ashdod,0,3,Asad Gabarin,Yud-Alef Stadion,1750,2017
23/09/2017,7:30 PM,Regular round,5,Hapoel Haifa,Hapoel Beer Sheva,2,6,Hapoel Beer Sheva,1,1,Gal Leibovitz,Sammy Ofer Stadium,7000,2017
24/09/2017,6:00 PM,Regular round,5,Maccabi Petah Tikva,Ihud Bnei Sakhnin,10,9,Maccabi Petah Tikva,1,0,Liran Liany,HaMoshava Stadium,1100,2017
24/09/2017,8:00 PM,Regular round,5,Maccabi Tel Aviv,Maccabi Haifa,3,8,Maccabi Haifa,0,0,Alon Yefet,Netanya Stadium,12400,2017
25/09/2017,7:30 PM,Regular round,5,Beitar Jerusalem,Ironi Kiryat Shmona,1,5,Ironi Kiryat Shmona,1,1,Menashe Masiah,Teddy-Kollek-Stadion,10500,2017
01/10/2017,6:00 PM,Regular round,6,Bnei Yehuda Tel Aviv,Hapoel Raanana,10,13,Hapoel Raanana,1,0,Zvika Levi,HaMoshava Stadium,1500,2017
01/10/2017,7:00 PM,Regular round,6,Ironi Kiryat Shmona,Hapoel Haifa,8,1,Ironi Kiryat Shmona,0,1,Roi Reinshreiber,Kiryat Shmona Municipal Stadium,2100,2017
01/10/2017,7:00 PM,Regular round,6,Maccabi Haifa,FC Ashdod,6,14,FC Ashdod,1,0,Shalom Ben Avraham,Sammy Ofer Stadium,15932,2017
01/10/2017,8:00 PM,Regular round,6,Hapoel Ashkelon,Maccabi Tel Aviv,9,5,Hapoel Ashkelon,2,2,Orel Grinfeld,Sala Stadium,5120,2017
02/10/2017,7:15 PM,Regular round,6,Maccabi Netanya,Maccabi Petah Tikva,2,11,Maccabi Petah Tikva,4,0,Ziv Adler,Netanya Stadium,4000,2017
02/10/2017,8:00 PM,Regular round,6,Ihud Bnei Sakhnin,Beitar Jerusalem,7,3,Ihud Bnei Sakhnin,3,2,Eli Hacmon,Akko Municipal Stadium,2000,2017
18/11/2017,7:30 PM,Regular round,6,Hapoel Beer Sheva,Hapoel Acre,4,12,Hapoel Acre,3,1,Daniel Bar Natan,Toto Jacob Turner Stadium,15183,2017
