season,clubs_name,round,promoted,game,win,draw,lose,goals,g_difference,pts,team_pos
22/23,Ironi Kiryat Shmona,18,0,Regular,2,10,6,20:26,-6,16,11
22/23,Sekzia Ness Ziona,18,0,Regular,3,7,8,20:31,-11,16,12
22/23,Maccabi Bnei Reineh,18,0,Regular,3,6,9,16:32,-16,15,13
22/23,Maccabi Haifa,19,0,Regular,16,0,3,40:18,22,48,0
22/23,Maccabi Tel Aviv,19,0,Regular,13,4,2,46:9,37,43,1
22/23,Hapoel Beer Sheva,19,0,Regular,13,3,3,43:17,26,42,2
22/23,Hapoel Jerusalem,19,0,Regular,7,7,5,24:18,6,28,3
22/23,FC Ashdod,19,0,Regular,6,6,7,21:23,-2,24,4
22/23,Beitar Jerusalem,19,0,Regular,7,3,9,31:37,-6,24,5
22/23,Hapoel Haifa,19,0,Regular,5,8,6,18:19,-1,23,6
22/23,Maccabi Netanya,19,0,Regular,5,6,8,21:32,-11,21,7
22/23,Hapoel Hadera,19,0,Regular,4,9,6,19:32,-13,21,8
22/23,Ihud Bnei Sakhnin,19,0,Regular,4,6,9,15:22,-7,18,9
22/23,Hapoel Tel Aviv,19,0,Regular,4,6,9,22:37,-15,18,10
22/23,Sekzia Ness Ziona,19,0,Regular,3,8,8,20:31,-11,17,11
22/23,Ironi Kiryat Shmona,19,0,Regular,2,10,7,20:27,-7,16,12
22/23,Maccabi Bnei Reineh,19,0,Regular,3,6,10,16:34,-18,15,13
22/23,Maccabi Haifa,20,0,Regular,16,1,3,40:18,22,49,0
22/23,Hapoel Beer Sheva,20,0,Regular,14,3,3,44:17,27,45,1
22/23,Maccabi Tel Aviv,20,0,Regular,13,5,2,46:9,37,44,2
22/23,Hapoel Jerusalem,20,0,Regular,7,7,6,25:20,5,28,3
22/23,FC Ashdod,20,0,Regular,6,7,7,22:24,-2,25,4
22/23,Beitar Jerusalem,20,0,Regular,7,3,10,31:39,-8,24,5
22/23,Maccabi Netanya,20,0,Regular,6,6,8,24:32,-8,24,6
22/23,Hapoel Hadera,20,0,Regular,5,9,6,21:32,-11,24,7
22/23,Hapoel Haifa,20,0,Regular,5,8,7,18:20,-2,23,8
22/23,Ihud Bnei Sakhnin,20,0,Regular,5,6,9,17:23,-6,21,9
22/23,Hapoel Tel Aviv,20,0,Regular,4,7,9,22:37,-15,19,10
22/23,Ironi Kiryat Shmona,20,0,Regular,2,11,7,21:28,-7,17,11
22/23,Sekzia Ness Ziona,20,0,Regular,3,8,9,20:34,-14,17,12
22/23,Maccabi Bnei Reineh,20,0,Regular,3,7,10,16:34,-18,16,13
22/23,Maccabi Haifa,21,0,Regular,16,2,3,41:19,22,50,0
22/23,Hapoel Beer Sheva,21,0,Regular,15,3,3,45:17,28,48,1
22/23,Maccabi Tel Aviv,21,0,Regular,13,6,2,47:10,37,45,2
22/23,Hapoel Jerusalem,21,0,Regular,7,7,7,25:22,3,28,3
22/23,Beitar Jerusalem,21,0,Regular,8,3,10,34:39,-5,27,4
22/23,Maccabi Netanya,21,0,Regular,7,6,8,26:32,-6,27,5
22/23,FC Ashdod,21,0,Regular,6,8,7,23:25,-2,26,6
22/23,Hapoel Hadera,21,0,Regular,5,10,6,22:33,-11,25,7
22/23,Hapoel Haifa,21,0,Regular,5,9,7,19:21,-2,24,8
22/23,Ihud Bnei Sakhnin,21,0,Regular,5,7,9,18:24,-6,22,9
22/23,Hapoel Tel Aviv,21,0,Regular,4,8,9,23:38,-15,20,10
22/23,Ironi Kiryat Shmona,21,0,Regular,2,11,8,21:31,-10,17,11
22/23,Sekzia Ness Ziona,21,0,Regular,3,8,10,20:35,-15,17,12
22/23,Maccabi Bnei Reineh,21,0,Regular,3,8,10,17:35,-18,17,13
22/23,Maccabi Haifa,22,0,Regular,17,2,3,43:19,24,53,0
22/23,Hapoel Beer Sheva,22,0,Regular,15,4,3,45:17,28,49,1
22/23,Maccabi Tel Aviv,22,0,Regular,13,6,3,48:12,36,45,2
22/23,Beitar Jerusalem,22,0,Regular,9,3,10,36:40,-4,30,3
22/23,Maccabi Netanya,22,0,Regular,8,6,8,28:33,-5,30,4
22/23,Hapoel Jerusalem,22,0,Regular,7,8,7,25:22,3,29,5
22/23,Hapoel Haifa,22,0,Regular,6,9,7,21:21,0,27,6
22/23,FC Ashdod,22,0,Regular,6,8,8,24:27,-3,26,7
22/23,Hapoel Hadera,22,0,Regular,5,11,6,22:33,-11,26,8
22/23,Ihud Bnei Sakhnin,22,0,Regular,5,8,9,19:25,-6,23,9
22/23,Hapoel Tel Aviv,22,0,Regular,4,9,9,23:38,-15,21,10
22/23,Maccabi Bnei Reineh,22,0,Regular,3,9,10,18:36,-18,18,11
22/23,Ironi Kiryat Shmona,22,0,Regular,2,11,9,21:33,-12,17,12
22/23,Sekzia Ness Ziona,22,0,Regular,3,8,11,20:37,-17,17,13
22/23,Maccabi Haifa,23,0,Regular,17,2,4,44:22,22,53,0
22/23,Hapoel Beer Sheva,23,0,Regular,15,4,4,45:18,27,49,1
22/23,Maccabi Tel Aviv,23,0,Regular,14,6,3,49:12,37,48,2
22/23,Maccabi Netanya,23,0,Regular,9,6,8,30:34,-4,33,3
22/23,Hapoel Jerusalem,23,0,Regular,8,8,7,26:22,4,32,4
22/23,Beitar Jerusalem,23,0,Regular,9,4,10,36:40,-4,31,5
22/23,FC Ashdod,23,0,Regular,7,8,8,27:28,-1,29,6
22/23,Hapoel Haifa,23,0,Regular,6,10,7,21:21,0,28,7
22/23,Ihud Bnei Sakhnin,23,0,Regular,6,8,9,22:26,-4,26,8
22/23,Hapoel Hadera,23,0,Regular,5,11,7,23:36,-13,26,9
22/23,Hapoel Tel Aviv,23,0,Regular,5,9,9,24:38,-14,24,10
22/23,Maccabi Bnei Reineh,23,0,Regular,3,9,11,19:38,-19,18,11
22/23,Ironi Kiryat Shmona,23,0,Regular,2,11,10,21:34,-13,17,12
22/23,Sekzia Ness Ziona,23,0,Regular,3,8,12,20:38,-18,17,13
22/23,Maccabi Haifa,24,0,Regular,18,2,4,46:23,23,56,0
22/23,Hapoel Beer Sheva,24,0,Regular,16,4,4,47:18,29,52,1
22/23,Maccabi Tel Aviv,24,0,Regular,15,6,3,51:12,39,51,2
22/23,Maccabi Netanya,24,0,Regular,10,6,8,31:34,-3,36,3
22/23,Hapoel Jerusalem,24,0,Regular,8,9,7,28:24,4,33,4
22/23,FC Ashdod,24,0,Regular,8,8,8,29:29,0,32,5
22/23,Beitar Jerusalem,24,0,Regular,9,4,11,37:42,-5,31,6
22/23,Hapoel Haifa,24,0,Regular,6,11,7,23:23,0,29,7
22/23,Ihud Bnei Sakhnin,24,0,Regular,6,8,10,23:29,-6,26,8
22/23,Hapoel Hadera,24,0,Regular,5,11,8,23:37,-14,26,9
22/23,Hapoel Tel Aviv,24,0,Regular,5,9,10,25:40,-15,24,10
22/23,Ironi Kiryat Shmona,24,0,Regular,3,11,10,24:35,-11,20,11
22/23,Maccabi Bnei Reineh,24,0,Regular,3,9,12,19:40,-21,18,12
22/23,Sekzia Ness Ziona,24,0,Regular,3,8,13,20:40,-20,17,13
22/23,Maccabi Haifa,25,0,Regular,19,2,4,50:24,26,59,0
22/23,Hapoel Beer Sheva,25,0,Regular,17,4,4,50:18,32,55,1
22/23,Maccabi Tel Aviv,25,0,Regular,15,6,4,52:14,38,51,2
22/23,Maccabi Netanya,25,0,Regular,10,7,8,33:36,-3,37,3
22/23,Hapoel Jerusalem,25,0,Regular,9,9,7,30:25,5,36,4
