,date,kot,round_type,round,home_team,away_team,home_position,away_position,underdog,home_score,away_score,referee,stadium,attendance,season,home_won,away_won,draw,derby,while_world_cup,kot_15_16,kot_16_17,kot_17_18,kot_18_19,kot_19_20,kot_20_21,kot_21_22,kot_22_23,while_champion_league,while_european_games,home_key,away_key,home_promoted,home_league_pts,home_is_relegated,home_is_champion,home_pos_b4_game,away_promoted,away_league_pts,away_is_relegated,away_is_champion,away_pos_b4_game
45,2022-10-08,1900-01-01 20:15:00,Regular Season,7,Maccabi Bnei Reineh,Maccabi Haifa,8,2,Maccabi Bnei Reineh,1,0,Idan Leiba,Green Stadium,4796,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 7 - Maccabi Bnei Reineh,2022 - Regular Season - 7 - Maccabi Haifa,1,9,,,10,0,15,,,1
46,2022-10-10,1900-01-01 19:00:00,Regular Season,7,Ironi Kiryat Shmona,FC Ashdod,10,6,Ironi Kiryat Shmona,1,1,Shalom Ben Avraham,Kiryat Shmona Municipal Stadium,1958,2022,0,0,1,0,0,False,False,False,False,True,False,False,False,0,0,2022 - Regular Season - 7 - Ironi Kiryat Shmona,2022 - Regular Season - 7 - FC Ashdod,0,8,,,8,0,10,,,6
47,2022-10-10,1900-01-01 20:00:00,Regular Season,7,Hapoel Beer Sheva,Hapoel Haifa,4,9,Hapoel Haifa,2,2,Aviad Shiloah,Toto Jacob Turner Stadium,12693,2022,0,0,1,0,0,False,False,False,False,False,True,False,False,0,0,2022 - Regular Season - 7 - Hapoel Beer Sheva,2022 - Regular Season - 7 - Hapoel Haifa,0,13,,,4,0,8,,,7
48,2022-10-10,1900-01-01 20:30:00,Regular Season,7,Maccabi Tel Aviv,Hapoel Tel Aviv,1,13,Hapoel Tel Aviv,3,0,Roi Reinshreiber,Bloomfield,27642,2022,1,0,0,1,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 7 - Maccabi Tel Aviv,2022 - Regular Season - 7 - Hapoel Tel Aviv,0,16,,,3,0,3,,,12
49,2022-10-15,1900-01-01 17:30:00,Regular Season,8,Hapoel Tel Aviv,Maccabi Bnei Reineh,12,8,Hapoel Tel Aviv,2,0,Orel Grinfeld,Bloomfield,8700,2022,1,0,0,0,0,False,False,True,False,False,False,False,False,0,1,2022 - Regular Season - 8 - Hapoel Tel Aviv,2022 - Regular Season - 8 - Maccabi Bnei Reineh,0,6,,,13,1,9,,,8
50,2022-10-15,1900-01-01 19:00:00,Regular Season,8,FC Ashdod,Hapoel Haifa,5,10,Hapoel Haifa,4,0,Eitan Shmuelevic,Yud-Alef Stadion,1112,2022,1,0,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 8 - FC Ashdod,2022 - Regular Season - 8 - Hapoel Haifa,0,13,,,6,0,8,,,9
51,2022-10-15,1900-01-01 19:45:00,Regular Season,8,Beitar Jerusalem,Ironi Kiryat Shmona,13,9,Beitar Jerusalem,2,0,Idan Leiba,Teddy-Kollek-Stadion,6000,2022,1,0,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 8 - Beitar Jerusalem,2022 - Regular Season - 8 - Ironi Kiryat Shmona,0,6,,,14,0,8,,,10
52,2022-10-15,1900-01-01 20:15:00,Regular Season,8,Ihud Bnei Sakhnin,Maccabi Tel Aviv,6,1,Ihud Bnei Sakhnin,0,1,David Fucsman,Doha Stadium,5000,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 8 - Ihud Bnei Sakhnin,2022 - Regular Season - 8 - Maccabi Tel Aviv,0,13,,,5,0,19,,,1
53,2022-10-17,1900-01-01 19:30:00,Regular Season,8,Maccabi Netanya,Hapoel Jerusalem,11,3,Maccabi Netanya,0,2,Ohad Asulin,Netanya Stadium,6281,2022,0,1,0,0,0,False,False,False,False,True,False,False,False,0,0,2022 - Regular Season - 8 - Maccabi Netanya,2022 - Regular Season - 8 - Hapoel Jerusalem,0,6,,,11,0,17,,,3
54,2022-10-17,1900-01-01 20:00:00,Regular Season,8,Hapoel Beer Sheva,Sekzia Ness Ziona,4,14,Sekzia Ness Ziona,1,1,Nael Odeh,Toto Jacob Turner Stadium,9770,2022,0,0,1,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 8 - Hapoel Beer Sheva,2022 - Regular Season - 8 - Sekzia Ness Ziona,0,14,,,4,1,5,,,12
55,2022-10-17,1900-01-01 20:30:00,Regular Season,8,Maccabi Haifa,Hapoel Hadera,2,7,Hapoel Hadera,1,0,Snir Levi,Sammy Ofer Stadium,29764,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 8 - Maccabi Haifa,2022 - Regular Season - 8 - Hapoel Hadera,0,18,,,2,0,10,,,7
56,2022-10-22,1900-01-01 17:30:00,Regular Season,9,Hapoel Jerusalem,Hapoel Beer Sheva,4,3,Hapoel Jerusalem,1,4,Orel Grinfeld,Teddy-Kollek-Stadion,4907,2022,0,1,0,0,0,False,False,True,False,False,False,False,False,0,1,2022 - Regular Season - 9 - Hapoel Jerusalem,2022 - Regular Season - 9 - Hapoel Beer Sheva,0,17,,,3,0,17,,,4
57,2022-10-22,1900-01-01 18:45:00,Regular Season,9,Hapoel Haifa,Sekzia Ness Ziona,11,12,Sekzia Ness Ziona,0,1,Erez Papir,Sammy Ofer Stadium,1980,2022,0,1,0,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Regular Season - 9 - Hapoel Haifa,2022 - Regular Season - 9 - Sekzia Ness Ziona,0,8,,,10,1,8,,,14
58,2022-10-22,1900-01-01 19:45:00,Regular Season,9,FC Ashdod,Beitar Jerusalem,5,9,Beitar Jerusalem,0,2,Aviad Shiloah,Yud-Alef Stadion,5101,2022,0,1,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 9 - FC Ashdod,2022 - Regular Season - 9 - Beitar Jerusalem,0,13,,,6,0,9,,,13
59,2022-10-22,1900-01-01 20:15:00,Regular Season,9,Ironi Kiryat Shmona,Maccabi Haifa,10,2,Ironi Kiryat Shmona,2,3,Nael Odeh,Kiryat Shmona Municipal Stadium,5202,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 9 - Ironi Kiryat Shmona,2022 - Regular Season - 9 - Maccabi Haifa,0,8,,,9,0,21,,,2
60,2022-10-23,1900-01-01 19:00:00,Regular Season,9,Maccabi Bnei Reineh,Ihud Bnei Sakhnin,7,6,Maccabi Bnei Reineh,2,0,Roi Reinshreiber,Green Stadium,2870,2022,1,0,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 9 - Maccabi Bnei Reineh,2022 - Regular Season - 9 - Ihud Bnei Sakhnin,1,12,,,8,0,13,,,5
