,season,round,round_type,team,promoted,team_pos,pts,g_difference,win,draw,lose,goals_for,goals_against
207,2022,15,Regular Season,Hapoel Haifa,0,12,14,-5,2,8,5,12,17
208,2022,15,Regular Season,Maccabi Bnei Reineh,1,13,14,-12,3,5,7,14,26
209,2022,15,Regular Season,Ironi Kiryat Shmona,0,14,11,-7,1,8,6,16,23
210,2022,16,Regular Season,Maccabi Haifa,0,1,42,22,14,0,2,36,14
211,2022,16,Regular Season,Maccabi Tel Aviv,0,2,36,31,11,3,2,38,7
212,2022,16,Regular Season,Hapoel Beer Sheva,0,3,35,19,11,2,3,34,15
213,2022,16,Regular Season,Hapoel Jerusalem,0,4,26,7,7,5,4,22,15
214,2022,16,Regular Season,Hapoel Hadera,0,5,20,-8,4,8,4,17,25
215,2022,16,Regular Season,Beitar Jerusalem,0,6,19,-8,6,1,9,26,34
216,2022,16,Regular Season,FC Ashdod,0,7,18,-4,4,6,6,16,20
217,2022,16,Regular Season,Hapoel Haifa,0,8,17,-4,3,8,5,14,18
218,2022,16,Regular Season,Ihud Bnei Sakhnin,0,9,16,-6,4,4,8,15,21
219,2022,16,Regular Season,Hapoel Tel Aviv,0,10,16,-9,4,4,8,21,30
220,2022,16,Regular Season,Maccabi Netanya,0,11,16,-12,4,4,8,18,30
221,2022,16,Regular Season,Sekzia Ness Ziona,1,12,15,-9,3,6,7,19,28
222,2022,16,Regular Season,Maccabi Bnei Reineh,1,13,15,-12,3,6,7,16,28
223,2022,16,Regular Season,Ironi Kiryat Shmona,0,14,12,-7,1,9,6,17,24
224,2022,17,Regular Season,Maccabi Haifa,0,1,45,24,15,0,2,38,14
225,2022,17,Regular Season,Maccabi Tel Aviv,0,2,39,34,12,3,2,41,7
226,2022,17,Regular Season,Hapoel Beer Sheva,0,3,38,25,12,2,3,40,15
227,2022,17,Regular Season,Hapoel Jerusalem,0,4,27,7,7,6,4,23,16
228,2022,17,Regular Season,Hapoel Haifa,0,5,20,-1,4,8,5,17,18
229,2022,17,Regular Season,Beitar Jerusalem,0,6,20,-8,6,2,9,27,35
230,2022,17,Regular Season,Hapoel Hadera,0,7,20,-11,4,8,5,17,28
231,2022,17,Regular Season,FC Ashdod,0,8,18,-7,4,6,7,16,23
232,2022,17,Regular Season,Ihud Bnei Sakhnin,0,9,17,-6,4,5,8,15,21
233,2022,17,Regular Season,Maccabi Netanya,0,10,17,-12,4,5,8,18,30
234,2022,17,Regular Season,Hapoel Tel Aviv,0,11,16,-15,4,4,9,21,36
235,2022,17,Regular Season,Ironi Kiryat Shmona,0,12,15,-6,2,9,6,18,24
236,2022,17,Regular Season,Sekzia Ness Ziona,1,13,15,-11,3,6,8,19,30
237,2022,17,Regular Season,Maccabi Bnei Reineh,1,14,15,-13,3,6,8,16,29
238,2022,18,Regular Season,Maccabi Haifa,0,1,48,25,16,0,2,40,15
239,2022,18,Regular Season,Hapoel Beer Sheva,0,2,41,26,13,2,3,41,15
240,2022,18,Regular Season,Maccabi Tel Aviv,0,3,40,34,12,4,2,43,9
241,2022,18,Regular Season,Hapoel Jerusalem,0,4,27,6,7,6,5,24,18
242,2022,18,Regular Season,FC Ashdod,0,5,21,-4,5,6,7,19,23
243,2022,18,Regular Season,Beitar Jerusalem,0,6,21,-8,6,3,9,29,37
244,2022,18,Regular Season,Hapoel Hadera,0,7,21,-11,4,9,5,19,30
245,2022,18,Regular Season,Hapoel Haifa,0,8,20,-2,4,8,6,17,19
246,2022,18,Regular Season,Maccabi Netanya,0,9,20,-11,5,5,8,19,30
247,2022,18,Regular Season,Ihud Bnei Sakhnin,0,10,17,-7,4,5,9,15,22
248,2022,18,Regular Season,Hapoel Tel Aviv,0,11,17,-15,4,5,9,22,37
249,2022,18,Regular Season,Ironi Kiryat Shmona,0,12,16,-6,2,10,6,20,26
250,2022,18,Regular Season,Sekzia Ness Ziona,1,13,16,-11,3,7,8,20,31
251,2022,18,Regular Season,Maccabi Bnei Reineh,1,14,15,-16,3,6,9,16,32
252,2022,19,Regular Season,Maccabi Haifa,0,1,48,22,16,0,3,40,18
253,2022,19,Regular Season,Maccabi Tel Aviv,0,2,43,37,13,4,2,46,9
254,2022,19,Regular Season,Hapoel Beer Sheva,0,3,42,26,13,3,3,43,17
255,2022,19,Regular Season,Hapoel Jerusalem,0,4,28,6,7,7,5,24,18
256,2022,19,Regular Season,FC Ashdod,0,5,24,-2,6,6,7,21,23
257,2022,19,Regular Season,Beitar Jerusalem,0,6,24,-6,7,3,9,31,37
258,2022,19,Regular Season,Hapoel Haifa,0,7,23,-1,5,8,6,18,19
259,2022,19,Regular Season,Maccabi Netanya,0,8,21,-11,5,6,8,21,32
260,2022,19,Regular Season,Hapoel Hadera,0,9,21,-13,4,9,6,19,32
261,2022,19,Regular Season,Ihud Bnei Sakhnin,0,10,18,-7,4,6,9,15,22
